title	count
Formal sitting – Slovenia	6
Formation of political groups (amendment of Rule 29) (A6-0206/2008 , Richard Corbett) (vote)	14
Formation of political groups (amendment of Rule 29) (debate)	44
Framework for the activities of lobbyists in the EU institutions (A6-0105/2008 , Ingo Friedrich) (vote)	22
Framework for the activities of lobbyists in the EU institutions (debate)	78
Free Trade Agreement with the Gulf Cooperation Council (debate)	36
Freedom, security and justice (annual debate) (Articles 2 and 39 TEU) (debate)	64
Freight transport in Europe (debate)	22
Fuel Cells and Hydrogen Joint Undertaking (debate)	20
Future global architecture of financial markets and EU economic recovery plan (debate)	60
Future of the sheep/lamb and goat sector in Europe (debate)	42
Gender Equality and Women's Empowerment in Development Cooperation (debate)	68
General arrangements for excise duty (A6-0417/2008 , Astrid Lulling) (vote)	10
General arrangements for excise duty (debate)	42
Generalised tariff preferences for the period from 1 January 2009 to 31 December 2011 (debate)	38
Geological storage of carbon dioxide (debate)	46
Getting a grip on energy prices (debate)	68
Getting a grip on energy prices (vote)	6
Global Energy Efficiency and Renewable Energy Fund (debate)	46
Global treaty to ban uranium weapons (debate)	44
Global treaty to ban uranium weapons (vote)	6
Governance and partnership at a national, regional and project basis in the field of regional policy (short presentation)	14
Green Paper on better ship dismantling (debate)	30
Green Paper on market-based instruments for environment and related policy purposes (debate)	68
Greenhouse gas emission allowance trading system (A6-0406/2008 , Avril Doyle) (vote)	6
Greenhouse gas emission allowance trading system (debate)	84
HIV/AIDS: Early Diagnosis and Early Care (debate)	30
Hangings in Iran	46
Hangings in Iran (vote)	18
Hedge funds and private equity (A6-0338/2008 , Poul Nyrup Rasmussen) (vote)	4
Hedge funds and private equity - Transparency of institutional investors (debate)	84
Hill and mountain farming (short presentation)	30
How marketing and advertising affect equality between women and men (debate)	40
Human Rights in the World 2007 and the EU's policy on the matter (A6-0153/2008 , Marco Cappato) (vote)	12
Human Rights in the World 2007 and the EU's policy on the matter - EU Election Observation Missions (debate)	124
Hygiene of foodstuffs (debate)	46
IASCF: Review of the constitution – Public Accountability and the Composition of the IASB Proposals for Change (vote)	14
Illegal immigration, external action of the European Union and Frontex (debate)	56
Impact of aviation security measures and body scanners on human rights, privacy, personal dignity and data protection (B6-0562/2008 ) (vote)	8
Impact of aviation security measures and body scanners on human rights, privacy, personal dignity and data protection (debate)	40
Impact of counterfeiting on international trade (A6-0447/2008 , Gianluca Susta) (vote)	6
Impact of counterfeiting on international trade - Consumer protection aspects of counterfeiting (debate)	40
Impact of tourism in coastal regions (short presentation)	16
Implementation of REACH (debate)	16
Implementation of the posting of workers directive following the judgments of the Court of Justice (debate)	72
Implementation of the social legislation relating to road transport (short presentation)	10
Implementing trade policy through efficient import and export rules and procedures (debate)	24
Import of poultry carcases (debate)	42
Improving consumer education and awareness on credit and finance (short presentation)	14
Improving the quality of teacher education (short presentation)	12
Inland transport of dangerous goods (debate)	30
Institutional aspects of Regulatory Agencies (short presentation)	8
Internal Market Scoreboard (short presentation)	12
Internal market in electricity (A6-0191/2008 , Eluned Morgan) (vote)	10
Internal market in electricity - Conditions for access to the network for cross-border exchanges in electricity - Agency for the Cooperation of Energy Regulators - Towards a European Charter on the Rights of Energy Consumers (debate)	150
Internal market in natural gas (A6-0257/2008 , Romano Maria La Russa) (vote)	4
International Financial Reporting Standards and the governance of the International Accounting Standards Board (A6-0032/2008 , Alexander Radwan) (vote)	4
International Financial Reporting Standards and the governance of the International Accounting Standards Board (debate)	40
International Tropical Timber Agreement 2006 - International Tropical Timber Agreement 2006 (debate)	52
International carriage of passengers by coach and bus (recast) (A6-0037/2008 , Mathieu Grosch) (vote)	16
Interpretation of Rule 19(1) (vote)	16
Investigations conducted by the European Anti Fraud Office (OLAF) (debate)	48
Iran: execution of juvenile offenders	42
Iran: the case of Khadijeh Moghaddam	30
Israel’s participation in Community programmes - Israel’s participation in Community programmes (debate)	60
Kenya (vote)	4
Kosovo (debate)	122
Lamfalussy follow up - Future Structure of Supervision (A6-0359/2008 , Ieke van den Burg and Daniel Dăianu) (vote)	12
Lamfalussy follow up - Future Structure of Supervision (debate)	44
Lebanon (debate)	42
Lebanon (vote)	8
Legislative process on the 3rd Energy Package (debate)	28
Lifelong learning for knowledge, creativity and innovation – ‘Education and Training 2010 work programme’ (A6-0455/2008 , Ljudmila Novak) (vote)	4
Lisbon Strategy - Broad Economic Policy Guidelines for 2008-2010 (debate)	146
Lisbon strategy (vote)	4
Management of deep-sea fish stocks (debate)	34
Management of fishing fleets registered in the Community outermost regions (debate)	26
Maternal health (vote)	6
Measures to combat the rise in oil prices (debate)	46
Meat and livestock statistics (A6-0130/2008 , Friedrich-Wilhelm Graefe zu Baringdorf) (vote)	4
Media literacy in a digital world (short presentation)	8
Mediation in civil and commercial matters (A6-0150/2008 , Arlene McCarthy) (vote)	10
Membership of committees and delegations: see Minutes	6
Membership of political groups: see Minutes	4
Mid-term review of industrial policy (debate)	46
Mid-term review of the European Environment and Health Action Plan 2004-2010 (A6-0260/2008 , Frédérique Ries) (vote)	2
Mid-term review of the European Environment and Health Action Plan 2004-2010 (debate)	62
Mid-term review of the Sixth Community Environment Action Programme (A6-0074/2008 , Riitta Myller) (vote)	12
Mid-term review of the Sixth Community Environment Action Programme (debate)	32
Migration to the second generation Schengen Information System (SIS II) - Migration to the second generation Schengen Information System (SIS II) (debate)	32
Misleading 'Directory companies' (e.g. 'European City Guides') (debate)	32
Mobile satellite services (MSS) (debate)	28
Monitoring and reduction of greenhouse gas emissions from fuels (road transport and inland waterway vessels) (debate)	22
Monitoring the application of Community law (debate)	42
Multiannual framework for the Fundamental Rights Agency for 2007-2012 (debate)	48
Natural disaster in China (debate)	48
Need for the Convention on Cluster Munitions to come into effect before the end of 2008 (debate)	36
Negotiations between the EU and the United States with regard to visa exemptions (vote)	8
Negotiations between the European Union and the United States with regard to visa exemptions (debate)	76
New Flame shipwreck (vote)	8
New Flame shipwreck and its consequences in Algeciras Bay (debate)	36
Nicaragua	22
Nicaragua (vote)	18
North-Kivu (Democratic Republic of Congo)	28
One-minute speeches (Rule 144)	80
One-minute speeches on matters of political importance	1138
One-minute speeches on matters of political importance (continuation)	20
Ongoing negotiations on bilateral agreements between the USA and certain Member States with regard to visas and PNR (Passenger Name Record) (debate)	44
Opening of the session	2
Opening of the sitting	70
Order of business	210
Organ donation and transplantation: Policy actions at EU level (A6-0090/2008 , Adamos Adamou) (vote)	8
Organ donation and transplantation: Policy actions at EU level (debate)	74
Organisation of working time (A6-0440/2008 , Alejandro Cercas) (vote)	6
Organisation of working time (debate)	116
Outcome of the Bali climate change conference (debate)	84
Outcome of the European Council on 11-12 December 2008 - French Presidency’s term of office (debate)	170
Outermost regions (debate)	46
Palestinian prisoners in Israel (debate)	44
Parliament's calendar of part-sessions - 2009 (vote)	14
Piracy at sea (B6-0537/2008 ) (vote)	6
